index,Ticker,Close,Volume,Date
0,JNJ,65.87999725341797,16116200,2012-01-03
1,JNJ,65.4800033569336,9243100,2012-01-04
2,JNJ,65.4000015258789,11886900,2012-01-05
3,JNJ,64.83000183105469,15359900,2012-01-06
4,JNJ,64.93000030517578,7934600,2012-01-09
5,JNJ,65.19999694824219,8476600,2012-01-10
6,JNJ,65.12999725341797,6784600,2012-01-11
7,JNJ,65.2300033569336,7402900,2012-01-12
8,JNJ,65.26000213623047,8978800,2012-01-13
9,JNJ,65.12000274658203,8359900,2012-01-17
10,JNJ,65.27999877929688,8095600,2012-01-18
11,JNJ,65.19000244140625,11699800,2012-01-19
12,JNJ,65.2699966430664,14715500,2012-01-20
13,JNJ,65.0,10125000,2012-01-23
14,JNJ,65.0,12367900,2012-01-24
15,JNJ,65.22000122070312,10531400,2012-01-25
16,JNJ,65.69999694824219,12546100,2012-01-26
17,JNJ,65.55999755859375,10466300,2012-01-27
18,JNJ,65.70999908447266,7482100,2012-01-30
19,JNJ,65.91000366210938,13562900,2012-01-31
20,JNJ,65.69000244140625,12275900,2012-02-01
21,JNJ,65.58999633789062,8282400,2012-02-02
22,JNJ,65.63999938964844,9036200,2012-02-03
23,JNJ,65.19000244140625,9535700,2012-02-06
24,JNJ,65.26000213623047,9248100,2012-02-07
25,JNJ,65.23999786376953,6889400,2012-02-08
26,JNJ,64.88999938964844,10936200,2012-02-09
27,JNJ,64.5999984741211,13954200,2012-02-10
28,JNJ,64.68000030517578,9662500,2012-02-13
29,JNJ,64.61000061035156,8978500,2012-02-14
30,JNJ,64.6500015258789,9023400,2012-02-15
31,JNJ,64.91999816894531,8194500,2012-02-16
32,JNJ,64.98999786376953,9057500,2012-02-17
33,JNJ,65.04000091552734,8081700,2012-02-21
34,JNJ,65.0,8150600,2012-02-22
35,JNJ,65.0999984741211,8991500,2012-02-23
36,JNJ,64.45999908447266,10478200,2012-02-24
37,JNJ,64.44999694824219,8523000,2012-02-27
38,JNJ,65.18000030517578,11581400,2012-02-28
39,JNJ,65.08000183105469,11489100,2012-02-29
40,JNJ,64.83000183105469,8813800,2012-03-01
41,JNJ,64.7699966430664,6063900,2012-03-02
42,JNJ,64.91000366210938,7601000,2012-03-05
43,JNJ,64.3499984741211,9511100,2012-03-06
44,JNJ,64.30000305175781,8591800,2012-03-07
45,JNJ,64.8499984741211,11311100,2012-03-08
46,JNJ,64.73999786376953,8410600,2012-03-09
47,JNJ,65.0999984741211,7284700,2012-03-12
48,JNJ,65.33000183105469,9884100,2012-03-13
49,JNJ,65.08000183105469,9612200,2012-03-14
50,JNJ,65.06999969482422,11372900,2012-03-15
51,JNJ,65.12000274658203,17707000,2012-03-16
52,JNJ,65.20999908447266,7321800,2012-03-19
53,JNJ,64.95999908447266,7760400,2012-03-20
54,JNJ,64.76000213623047,7839600,2012-03-21
55,JNJ,64.45999908447266,10621300,2012-03-22
56,JNJ,64.55000305175781,8062500,2012-03-23
57,JNJ,65.16999816894531,8503800,2012-03-26
58,JNJ,65.4000015258789,10723800,2012-03-27
59,JNJ,65.62000274658203,10305500,2012-03-28
60,JNJ,65.54000091552734,9553300,2012-03-29
61,JNJ,65.95999908447266,11307700,2012-03-30
62,JNJ,66.20999908447266,8785900,2012-04-02
63,JNJ,65.87999725341797,9128400,2012-04-03
64,JNJ,65.38999938964844,9432300,2012-04-04
65,JNJ,65.33999633789062,7922700,2012-04-05
66,JNJ,64.91999816894531,6363400,2012-04-09
67,JNJ,64.19999694824219,12793200,2012-04-10
68,JNJ,64.12999725341797,10434100,2012-04-11
69,JNJ,64.1500015258789,13122300,2012-04-12
70,JNJ,63.540000915527344,11226600,2012-04-13
71,JNJ,63.97999954223633,10502400,2012-04-16
72,JNJ,64.22000122070312,18322900,2012-04-17
73,JNJ,63.2599983215332,20567700,2012-04-18
74,JNJ,63.029998779296875,15189000,2012-04-19
75,JNJ,63.709999084472656,14320700,2012-04-20
76,JNJ,63.369998931884766,10120900,2012-04-23
77,JNJ,63.77000045776367,9022400,2012-04-24
78,JNJ,64.43000030517578,11162800,2012-04-25
79,JNJ,64.75,9139200,2012-04-26
80,JNJ,64.83999633789062,10746700,2012-04-27
81,JNJ,65.0999984741211,11362300,2012-04-30
82,JNJ,65.22000122070312,10107900,2012-05-01
83,JNJ,65.33000183105469,8349700,2012-05-02
84,JNJ,65.33999633789062,10431800,2012-05-03
85,JNJ,64.73999786376953,10301300,2012-05-04
86,JNJ,64.80000305175781,8387800,2012-05-07
87,JNJ,64.9800033569336,12491900,2012-05-08
88,JNJ,64.27999877929688,10649400,2012-05-09
89,JNJ,64.56999969482422,7702000,2012-05-10
90,JNJ,64.33999633789062,37824600,2012-05-11
91,JNJ,63.93000030517578,39687800,2012-05-14
92,JNJ,63.61000061035156,8500000,2012-05-15
93,JNJ,63.709999084472656,10018400,2012-05-16
94,JNJ,63.54999923706055,7993500,2012-05-17
95,JNJ,63.349998474121094,13781300,2012-05-18
96,JNJ,63.470001220703125,8784900,2012-05-21
97,JNJ,63.52000045776367,8409300,2012-05-22
98,JNJ,63.27000045776367,11269100,2012-05-23
99,JNJ,63.099998474121094,9309400,2012-05-24
100,JNJ,62.5099983215332,11208500,2012-05-25
101,JNJ,62.59000015258789,10089700,2012-05-29
102,JNJ,62.209999084472656,9414700,2012-05-30
103,JNJ,62.43000030517578,13297100,2012-05-31
